       1   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       251457.3       711583.2      -1315328.       709674.7      -715359.2      -294901.8      0.2895222E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       251457.3       711583.2      -1315328.       0.000000       0.000000       0.000000       238178.2      -802227.0      -681090.3       0.000000       0.000000       0.000000       709674.7      -715359.2      -294901.8       0.000000      0.1153437E-10  0.1627425E-11   0.000000      0.1627425E-11  0.1074720E-05 
      10  0.2547101E-09  0.1273550E-05   0.000000       0.000000       0.000000       0.000000       201686.4       775851.5      -1332557.       727497.4      -637164.2      -187943.9      0.2893592E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2586.281       109997.9       16447.97       199100.1       665853.6      -1349005.       14570.86       88526.32       22586.50       277284.5      -867115.4      -642853.5       24323.91       87976.88       104340.8       703173.5      -725141.1      -292284.7      0.7641477E-11  0.1115097E-10  0.1641897E-11  0.2291475E-13  0.1664811E-11  0.8532413E-06 
      20  0.6549132E-09  0.3274566E-05   0.000000       0.000000       0.000000       0.000000       184670.7       938702.4      -1322344.       735426.2      -493870.8      -193388.6      0.2893360E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -11124.05       258329.2      -2918.930       195794.7       680373.3      -1319425.       27299.65       239283.9      -13850.37       257391.3      -800207.0      -675048.6       37485.68       241370.2       103657.2       697940.6      -735241.0      -297045.8      0.1964784E-10  0.1104192E-10  0.1657975E-11  0.2866062E-13  0.1686635E-11  0.1547957E-06 
      30  0.1055286E-08  0.5276428E-05   0.000000       0.000000       0.000000       0.000000       198893.3       1136510.      -1321258.       716289.8      -407859.5      -189172.3      0.2894113E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       5561.157       440650.5      -7137.989       193332.2       695859.5      -1314120.       52100.42       427252.0      -20901.78       224057.0      -787874.5      -653484.7       22544.65       340297.9       101730.9       693745.2      -748157.4      -290903.2      0.3165929E-10  0.1098295E-10  0.1658689E-11  0.3175385E-13  0.1690443E-11 -0.4907263E-06 
      40  0.1455904E-08  0.7279522E-05   0.000000       0.000000       0.000000       0.000000       199065.8       1278344.      -1301442.       722367.6      -252019.0      -238384.5      0.2888594E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -6106.525       633057.3      -55512.81       205172.3       645286.5      -1245929.       142819.2       585451.6       62633.46       130598.7      -768730.4      -702592.1       25112.03       471990.4       34156.40       697255.5      -724009.4      -272540.9      0.4367813E-10  0.1105796E-10  0.1632371E-11  0.5439454E-14  0.1637811E-11 -0.1124112E-05 
      50  0.1856185E-08  0.9280923E-05   0.000000       0.000000       0.000000       0.000000       207185.0       1457385.      -1332405.       702574.6      -138350.2      -212590.7      0.2886645E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -140.5474       830592.3      -110783.9       207325.5       626792.3      -1221621.       169055.6       761929.3       49235.79       97529.17      -798408.6      -713888.3       22815.63       584586.2       58769.73       679759.0      -722936.3      -271360.4      0.5568680E-10  0.1091786E-10  0.1606447E-11 -0.2239303E-14  0.1604208E-11 -0.1710151E-05 
      60  0.2256718E-08  0.1128359E-04   0.000000       0.000000       0.000000       0.000000       196236.2       1594812.      -1315538.       705018.3       3572.653      -248475.0      0.2882465E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -10240.06       984867.8      -118353.1       206476.2       609944.1      -1197185.       173007.4       896486.9       129581.9       67315.51      -824821.2      -783233.5       35530.91       730335.3       35088.40       669487.4      -726762.6      -283563.4      0.6770309E-10  0.1081579E-10  0.1603679E-11  0.9292359E-14  0.1612971E-11 -0.2226835E-05 
      70  0.2657005E-08  0.1328503E-04   0.000000       0.000000       0.000000       0.000000       203568.1       1720383.      -1311955.       681753.0       141125.4      -261013.2      0.2881498E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -5280.692       1122261.      -126019.8       208848.8       598122.7      -1185935.       170604.0       1040526.       158580.6       82965.22      -809941.4      -798797.6       31428.29       889380.3       27525.90       650324.7      -748254.9      -288539.1      0.7971197E-10  0.1062458E-10  0.1573389E-11 -0.5698680E-13  0.1516402E-11 -0.2789585E-05 
      80  0.3057216E-08  0.1528608E-04   0.000000       0.000000       0.000000       0.000000       205066.1       1864945.      -1316496.       679546.9       270633.8      -264283.7      0.2879464E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -4265.640       1279863.      -140513.0       209331.8       585082.6      -1175983.       167333.0       1193125.       185134.3       78258.61      -782818.6      -838744.9       33612.62       1025299.       28536.18       645934.3      -754665.1      -292819.9      0.9171857E-10  0.1061608E-10  0.1564663E-11 -0.6705779E-13  0.1497606E-11 -0.3394668E-05 
      90  0.3457469E-08  0.1728734E-04   0.000000       0.000000       0.000000       0.000000       203993.0       2013966.      -1319658.       679621.8       403184.4      -263067.1      0.2878825E+13   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -4681.843       1448211.      -162716.0       208674.8       565755.2      -1156942.       174793.6       1340152.       222435.7       70238.39      -773777.2      -881018.6       38020.56       1159608.       29247.63       641601.2      -756424.0      -292314.7      0.1037264E-09  0.1060410E-10  0.1532116E-11 -0.7935584E-13  0.1452760E-11 -0.3978215E-05 
